央视频道,#genre#
天津卫视,http://119.54.1.220:58000/hls/36/index.m3u8
深圳卫视,http://119.54.1.220:58000/hls/37/index.m3u8
安徽卫视,http://119.54.1.220:58000/hls/38/index.m3u8
广东卫视,http://119.54.1.220:58000/hls/39/index.m3u8
山东卫视,http://119.54.1.220:58000/hls/40/index.m3u8
贵州卫视,http://119.54.1.220:58000/hls/41/index.m3u8
黑龙江卫视,http://119.54.1.220:58000/hls/42/index.m3u8
河北卫视,http://119.54.1.220:58000/hls/43/index.m3u8
东南卫视,http://119.54.1.220:58000/hls/44/index.m3u8
湖北卫视,http://119.54.1.220:58000/hls/45/index.m3u8
重庆卫视,http://119.54.1.220:58000/hls/46/index.m3u8
云南卫视,http://119.54.1.220:58000/hls/47/index.m3u8
海南卫视,http://119.54.1.220:58000/hls/48/index.m3u8
陕西卫视,http://119.54.1.220:58000/hls/49/index.m3u8
青海卫视,http://119.54.1.220:58000/hls/50/index.m3u8
河南卫视,http://119.54.1.220:58000/hls/51/index.m3u8
山西卫视,http://119.54.1.220:58000/hls/52/index.m3u8
内蒙古卫视,http://119.54.1.220:58000/hls/53/index.m3u8
江西卫视,http://119.54.1.220:58000/hls/54/index.m3u8
广西卫视,http://119.54.1.220:58000/hls/55/index.m3u8
西藏卫视,http://119.54.1.220:58000/hls/56/index.m3u8
四川卫视,http://119.54.1.220:58000/hls/57/index.m3u8
兵团卫视,http://119.54.1.220:58000/hls/58/index.m3u8
甘肃卫视,http://119.54.1.220:58000/hls/59/index.m3u8
新疆卫视,http://119.54.1.220:58000/hls/60/index.m3u8
宁夏卫视,http://119.54.1.220:58000/hls/61/index.m3u8
三沙卫视,http://119.54.1.220:58000/hls/62/index.m3u8
其他频道,#genre#
北京卡酷,http://119.54.1.220:58000/hls/63/index.m3u8
金鹰卡通,http://119.54.1.220:58000/hls/64/index.m3u8
佳佳卡通,http://119.54.1.220:58000/hls/65/index.m3u8
哈哈炫动,http://119.54.1.220:58000/hls/66/index.m3u8
纪实人文,http://119.54.1.220:58000/hls/67/index.m3u8
金鹰纪实,http://119.54.1.220:58000/hls/68/index.m3u8
中国交通,http://119.54.1.220:58000/hls/69/index.m3u8
CETV1,http://119.54.1.220:58000/hls/70/index.m3u8
CETV2,http://119.54.1.220:58000/hls/71/index.m3u8
CETV4,http://119.54.1.220:58000/hls/72/index.m3u8
女性时尚,http://119.54.1.220:58000/hls/73/index.m3u8
环球奇观,http://119.54.1.220:58000/hls/74/index.m3u8
第一剧场,http://119.54.1.220:58000/hls/75/index.m3u8
世界地理,http://119.54.1.220:58000/hls/76/index.m3u8
风云足球,http://119.54.1.220:58000/hls/77/index.m3u8
央视台球,http://119.54.1.220:58000/hls/78/index.m3u8
风云音乐,http://119.54.1.220:58000/hls/79/index.m3u8
怀旧剧场,http://119.54.1.220:58000/hls/80/index.m3u8
央视文化精品,http://119.54.1.220:58000/hls/81/index.m3u8
兵器科技,http://119.54.1.220:58000/hls/82/index.m3u8
靓装,http://119.54.1.220:58000/hls/83/index.m3u8
汽摩,http://119.54.1.220:58000/hls/84/index.m3u8
国学频道,http://119.54.1.220:58000/hls/85/index.m3u8
风云剧场,http://119.54.1.220:58000/hls/86/index.m3u8
电视指南,http://119.54.1.220:58000/hls/87/index.m3u8
卫生健康,http://119.54.1.220:58000/hls/88/index.m3u8
高尔夫,http://119.54.1.220:58000/hls/89/index.m3u8
动作电影,http://119.54.1.220:58000/hls/90/index.m3u8
高清电影,http://119.54.1.220:58000/hls/91/index.m3u8
家庭影院,http://119.54.1.220:58000/hls/92/index.m3u8
乐游高清,http://119.54.1.220:58000/hls/93/index.m3u8
法治天地,http://119.54.1.220:58000/hls/94/index.m3u8
金色学堂,http://119.54.1.220:58000/hls/95/index.m3u8
生活时尚,http://119.54.1.220:58000/hls/96/index.m3u8
都市剧场,http://119.54.1.220:58000/hls/97/index.m3u8
动漫秀场,http://119.54.1.220:58000/hls/98/index.m3u8
游戏风云,http://119.54.1.220:58000/hls/99/index.m3u8
快乐垂钓,http://119.54.1.220:58000/hls/100/index.m3u8
茶频道,http://119.54.1.220:58000/hls/101/index.m3u8
